,date_eod,ticker,open,close,high,close.1,volume
2699,2012-04-27,SAMPLE,63.89,62.15,64.0699,62.15,5663392
2700,2012-04-30,SAMPLE,61.98,62.26,62.88,62.26,3746220
2701,2012-05-01,SAMPLE,62.74,61.88,63.0,61.88,4029740
2702,2012-05-02,SAMPLE,61.17,61.21,61.76,61.21,3186845
2703,2012-05-03,SAMPLE,61.52,60.3,62.24,60.3,3265157
2704,2012-05-04,SAMPLE,59.98,58.27,60.14,58.27,4655821
2705,2012-05-07,SAMPLE,57.84,58.46,59.34,58.46,2808883
2706,2012-05-08,SAMPLE,57.68,56.76,57.85,56.76,5842065
2707,2012-05-09,SAMPLE,55.5,56.8,57.9596,56.8,4302625
2708,2012-05-10,SAMPLE,57.78,56.46,58.36,56.46,2770656
2709,2012-05-11,SAMPLE,55.89,55.43,56.86,55.43,2423635
2710,2012-05-14,SAMPLE,54.56,54.48,55.52,54.48,2607223
2711,2012-05-15,SAMPLE,54.35,52.16,54.82,52.16,3821621
2712,2012-05-16,SAMPLE,52.42,51.37,53.97,51.37,4118457
2713,2012-05-17,SAMPLE,51.42,49.83,52.09,49.83,4093713
2714,2012-05-18,SAMPLE,50.2,48.69,50.59,48.69,4346153
2715,2012-05-21,SAMPLE,48.96,51.45,51.67,51.45,3769699
2716,2012-05-22,SAMPLE,51.77,50.38,52.297,50.38,4221139
2717,2012-05-23,SAMPLE,49.75,52.01,52.14,52.01,4153171
2718,2012-05-24,SAMPLE,52.21,49.75,52.34,49.75,4264492
2719,2012-05-25,SAMPLE,49.67,50.28,50.64,50.28,2989918
2720,2012-05-29,SAMPLE,51.43,52.4,52.66,52.4,4077753
2721,2012-05-30,SAMPLE,51.15,50.88,51.52,50.88,3244758
2722,2012-05-31,SAMPLE,50.08,47.78,50.1,47.78,6861487
2723,2012-06-01,SAMPLE,46.35,46.08,47.54,46.08,5219118
2724,2012-06-04,SAMPLE,46.34,45.74,46.34,45.74,4356251
2725,2012-06-05,SAMPLE,45.69,47.12,47.26,47.12,3427120
2726,2012-06-06,SAMPLE,47.98,48.59,49.25,48.59,4021123
2727,2012-06-07,SAMPLE,50.04,48.77,50.83,48.77,3632685
2728,2012-06-08,SAMPLE,48.26,48.77,48.87,48.77,2499785
2729,2012-06-11,SAMPLE,49.69,46.45,49.7,46.45,3156136
2730,2012-06-12,SAMPLE,46.83,48.23,48.25,48.23,3563015
2731,2012-06-13,SAMPLE,47.78,47.02,48.61,47.02,2808424
2732,2012-06-14,SAMPLE,47.22,47.62,47.95,47.62,2401790
2733,2012-06-15,SAMPLE,47.71,48.98,49.0,48.98,2626541
2734,2012-06-18,SAMPLE,48.46,48.81,49.3,48.81,2305542
2735,2012-06-19,SAMPLE,49.15,50.76,51.07,50.76,3014026
2736,2012-06-20,SAMPLE,51.64,51.73,53.13,51.73,4991351
2737,2012-06-21,SAMPLE,51.71,48.33,51.919,48.33,3954769
2738,2012-06-22,SAMPLE,49.03,47.63,49.26,47.63,6953900
2739,2012-06-25,SAMPLE,46.81,45.58,46.97,45.58,3842572
2740,2012-06-26,SAMPLE,46.09,46.78,47.09,46.78,3391593
2741,2012-06-27,SAMPLE,46.95,47.35,47.55,47.35,2544181
2742,2012-06-28,SAMPLE,46.69,47.15,47.21,47.15,4038259
2743,2012-06-29,SAMPLE,48.98,49.29,49.33,49.29,4127402
2744,2012-07-02,SAMPLE,49.23,48.99,49.81,48.99,2488172
2745,2012-07-03,SAMPLE,49.33,50.43,50.89,50.43,1677372
2746,2012-07-05,SAMPLE,50.08,49.65,50.2982,49.65,2157473
2747,2012-07-06,SAMPLE,48.82,48.01,48.85,48.01,3085574
2748,2012-07-09,SAMPLE,47.94,47.11,47.99,47.11,2591364
